bstoparsno,bstopid,name,stoptype,lng,lat
12026,191870201,"강서브라이트센터","일반",128.956947799999990,35.180805499999998
12027,188790301,"경전철 덕두역","일반",128.953306000000000,35.181097999999999
12028,188800101,"경전철 덕두역","일반",128.954105400000000,35.181319539999997
12029,176970101,"공항입구","일반",128.949909999999990,35.176561999999997
12031,177190301,"강서구청역","일반",128.980796000000000,35.211587999999999
12032,192080201,"강서구청역","일반",128.980581099999990,35.210857169999997
12033,191660201,"대저역","일반",128.960823600000000,35.212856100000003
12034,210430101,"강서경찰서","일반",128.906565000000000,35.117936669999999
12035,210430201,"순아동","일반",128.903614400000010,35.119047729999998
12036,190730201,"영도산업","일반",128.825791700000000,35.099496670000001
12037,191580101,"명지새동네","일반",128.930807300000000,35.108553929999999
12038,188970201,"명지새동네","일반",128.930026700000010,35.107938330000003
12039,190830201,"송정다리","일반",128.833980400000000,35.093316950000002
12040,189810101,"삼성전기","일반",128.853665799999990,35.093337810000001
12041,189230301,"삼성자동차정문","일반",128.876820000000010,35.089140000000000
12042,189950301,"삼성전기","일반",128.853654299999990,35.093585269999998
12043,190310201,"DSR","일반",128.840266100000010,35.093315550000000
12044,191700202,"금호마을","일반",128.958679999999990,35.163809999999998
12045,190880101,"송정","일반",128.843118299999990,35.105158330000002
12046,190190201,"리노공업","일반",128.842410000000000,35.093411670000002
12047,190300201,"동서열처리","일반",128.845650000000010,35.093403330000001
12049,190350201,"현진소재","일반",128.849781699999990,35.097935000000000
12050,191790302,"강서체육공원","일반",128.974468100000000,35.207421879999998
12051,191660202,"체육공원역","일반",128.968217200000000,35.212096850000002
12053,203340201,"(구)검문소","일반",128.837441700000000,35.103601670000003
12054,188760301,"강서체육공원","일반",128.974075900000000,35.207706440000003
12055,204820201,"용원사거리","일반",128.821149700000010,35.098066410000001
12056,191150101,"경제자유구역청","일반",128.839721700000010,35.086637869999997
12057,191230301,"녹산선착장","일반",128.837843300000000,35.084576669999997
12060,193270301,"명지신도시","일반",128.902430000000010,35.088931670000001
12061,188770301,"수로다리","일반",128.969860399999990,35.214949799999999
12062,188990301,"명지신도시","일반",128.900679300000010,35.089194399999997
12063,191860301,"강서브라이트센터","일반",128.956497100000010,35.181278620000001
12064,214220201,"부산신항만","일반",128.834503899999990,35.078515840000001
12065,209930101,"부산신항만","일반",128.834903000000000,35.078280999999997
12066,189950101,"대흥공업사거리","일반",128.859716100000010,35.093335209999999
12067,189380301,"우진목재","일반",128.865671700000010,35.092096669999997
12068,189420201,"녹산하수처리장","일반",128.866363299999990,35.088859999999997
